YEAR,DATANUM,SERIAL,HHWT,STATEFIP,COUNTY,GQ,PERNUM,PERWT,AGE,SEX,EDUC,EDUCD,DEGFIELD,DEGFIELDD,OCC,INCTOT
2010,1,678013,7470.53,27,0,1,1,7348.06,34,1,7,71,0,0,1010,15000
2010,1,678013,7470.53,27,0,1,2,8450.27,10,1,1,17,0,0,0,NA
2010,1,678013,7470.53,27,0,1,3,8450.27,5,1,1,11,0,0,0,NA
2010,1,678257,14083.78,27,530,1,1,14083.78,49,2,6,65,0,0,0,11000
2010,1,678380,13838.85,27,530,1,1,13838.85,74,1,11,115,61,6106,3060,373900
2010,1,678380,13838.85,27,530,1,2,16655.6,72,2,6,65,0,0,0,0
2010,1,678502,4408.84,27,0,1,1,4408.84,55,1,6,64,0,0,8530,8000
2010,1,678625,4653.77,27,0,1,1,4653.77,56,2,7,71,0,0,4610,19000
2010,1,678625,4653.77,27,0,1,2,4898.71,21,1,7,71,0,0,6260,3000
2010,1,678625,4653.77,27,0,1,3,5021.17,13,1,2,25,0,0,0,NA
2010,1,678625,4653.77,27,0,1,4,5143.64,10,1,1,17,0,0,0,NA
2010,1,678625,4653.77,27,0,1,5,5143.64,9,1,1,16,0,0,0,NA
2010,1,678747,16655.6,27,0,4,1,16655.6,20,2,7,71,0,0,4720,1000
2010,1,678870,18247.68,27,1230,1,1,18247.68,44,1,11,116,49,4901,2200,81000
2010,1,678870,18247.68,27,1230,1,2,18002.75,42,2,10,101,52,5200,3110,0
2010,1,678870,18247.68,27,1230,1,3,17145.48,14,2,2,25,0,0,0,NA
2010,1,678870,18247.68,27,1230,1,4,17145.48,12,1,1,17,0,0,0,NA
2010,1,678870,18247.68,27,1230,1,5,17267.94,9,1,1,16,0,0,0,NA
2010,1,678870,18247.68,27,1230,1,6,17145.48,6,1,1,14,0,0,0,NA
2010,1,678870,18247.68,27,1230,1,7,16655.6,72,2,10,101,50,5003,0,28380
2010,1,679115,4041.43,27,1370,1,1,4041.43,31,1,6,63,0,0,6260,60000
2010,1,679115,4041.43,27,1370,1,2,5143.64,31,2,3,30,0,0,4020,15000
2010,1,679237,9307.54,27,1230,3,1,9307.54,88,2,2,26,0,0,0,16400
2010,1,679360,18492.62,27,530,1,1,18492.62,30,2,10,101,55,5507,2200,21650
2010,1,679360,18492.62,27,530,1,2,14451.19,30,1,11,114,55,5501,850,31300
2010,1,679482,2571.82,27,0,1,1,2571.82,33,1,7,71,0,0,6050,16900
2010,1,679482,2571.82,27,0,1,2,5878.45,33,1,6,61,0,0,6260,12000
2010,1,679727,3429.1,27,0,1,1,3306.63,67,1,6,63,0,0,0,40000
2010,1,679727,3429.1,27,0,1,2,3429.1,67,2,6,65,0,0,0,8300
2010,1,679850,2204.42,27,0,1,1,2081.95,28,2,6,63,0,0,8965,27000
2010,1,679850,2204.42,27,0,1,2,3918.97,30,1,7,71,0,0,7340,48000
2010,1,679850,2204.42,27,0,1,3,3061.69,5,2,0,2,0,0,0,NA
2010,1,679850,2204.42,27,0,1,4,2081.95,2,2,0,1,0,0,0,NA
2010,1,679972,3796.5,27,0,1,1,3796.5,18,2,6,61,0,0,4110,10400
2010,1,679972,3796.5,27,0,1,2,18002.75,33,1,10,101,62,6200,9000,48000
2010,1,680094,18125.22,27,0,1,1,18247.68,68,1,6,63,0,0,7200,30000
2010,1,680217,6613.25,27,0,1,1,6613.25,44,1,7,71,0,0,8140,30560
2010,1,680217,6613.25,27,0,1,2,5143.64,47,2,8,81,0,0,5600,45200
2010,1,680339,2816.76,27,0,1,1,2816.76,37,2,6,63,0,0,8810,30000
2010,1,680339,2816.76,27,0,1,2,3306.63,16,2,4,40,0,0,4030,4000
2010,1,680339,2816.76,27,0,1,3,2816.76,40,1,6,63,0,0,9130,45000
2010,1,680584,14451.19,27,1090,1,1,14451.19,34,1,10,101,62,6206,1006,62000
2010,1,680584,14451.19,27,1090,1,2,11756.9,37,2,8,81,0,0,136,34000
2010,1,680584,14451.19,27,1090,1,3,11756.9,10,1,1,16,0,0,0,NA
2010,1,680584,14451.19,27,1090,1,4,22534.05,15,1,3,30,0,0,0,0
2010,1,680707,39924.46,27,530,1,1,39924.46,49,1,6,63,0,0,8030,25000
2010,1,680829,5266.11,27,0,1,1,5388.58,50,2,6,64,0,0,4040,1300
2010,1,680829,5266.11,27,0,1,2,6368.32,19,1,6,63,0,0,8220,3700
2010,1,680952,19594.83,27,0,1,1,19594.83,47,1,10,101,62,6203,4800,65800
2010,1,680952,19594.83,27,0,1,2,23268.86,43,2,10,101,62,6203,5620,0
2010,1,680952,19594.83,27,0,1,3,24616,12,2,2,23,0,0,0,NA
2010,1,680952,19594.83,27,0,1,4,21309.38,10,1,1,16,0,0,0,NA
2010,1,681074,5021.17,27,0,1,1,4898.71,51,1,8,81,0,0,4750,50040
2010,1,681197,15185.99,27,30,1,1,15185.99,55,1,6,63,0,0,160,55300
2010,1,681319,15430.93,27,530,4,1,15430.93,46,1,6,63,0,0,8965,35300
2010,1,681442,4408.84,27,0,1,1,4286.37,74,1,6,63,0,0,6050,44400
2010,1,681442,4408.84,27,0,1,2,4408.84,71,2,7,71,0,0,0,5500
2010,1,681564,8205.33,27,0,1,1,8327.8,51,1,7,71,0,0,8965,0
2010,1,681564,8205.33,27,0,1,2,15675.86,47,2,7,71,0,0,9920,0
2010,1,681687,2081.95,27,0,1,1,2081.95,29,2,7,71,0,0,2145,38000
2010,1,681687,2081.95,27,0,1,2,2204.42,29,1,10,101,41,4101,4850,35000
2010,1,681687,2081.95,27,0,1,3,2816.76,1,1,0,1,0,0,0,NA
2010,1,681809,3429.1,27,0,1,1,3429.1,45,1,8,81,0,0,7220,73000
